SERIAL NO,SUBJECT,CHAPTER NAME,CLASS TEACHER,YEAR,MODE,FACULTY1,FACULTY2,BATCH,EXAM DATE,ALLOTED HOURS,COMPLETED HOURS,REMAINING HOURS NEEDED,CHAPTER STATUS,AVERAGE MARK OF BATCH,NUMBER OF A+,REMARKS1,REMARKS2,REMARKS3,FLAG1,FLAG2,FLAG3
1243,CHEMISTRY,Aldehydes and Ketones,SRUTHI.(WB),2026,OFFLINE,BDU,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1244,CHEMISTRY,Aldehydes and Ketones,SRUTHI.(WB),2026,OFFLINE,BDU,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1245,ZOOLOGY,Animal Kingdom Phylum Chordata,SRUTHI.(WB),2026,OFFLINE,PAX,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1246,ZOOLOGY,Animal Kingdom Phylum Chordata,SRUTHI.(WB),2026,OFFLINE,PAX,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1247,ZOOLOGY,Animal Kingdom Phylum Chordata,SRUTHI.(WB),2026,OFFLINE,PAX,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1248,MATHS,Applications of Differentiation,SRUTHI.(WB),2026,OFFLINE,CCQ,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1249,MATHS,Applications of Differentiation,SRUTHI.(WB),2026,OFFLINE,CCQ,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1250,PHYSICS,Atoms and Nuclei,SRUTHI.(WB),2026,OFFLINE,CAA,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1251,PHYSICS,Atoms and Nuclei,SRUTHI.(WB),2026,OFFLINE,CAA,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1252,ZOOLOGY,Biodiversity and Conservation,SRUTHI.(WB),2026,OFFLINE,BBK,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1253,ZOOLOGY,Biodiversity and Conservation,SRUTHI.(WB),2026,OFFLINE,BBK,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1254,ZOOLOGY,Biomolecules,SRUTHI.(WB),2026,OFFLINE,PAO,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1255,CHEMISTRY,Biomolecules,SRUTHI.(WB),2026,OFFLINE,BAI,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1256,ZOOLOGY,Biomolecules,SRUTHI.(WB),2026,OFFLINE,PAO,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1257,CHEMISTRY,Biomolecules,SRUTHI.(WB),2026,OFFLINE,BAI,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1258,ZOOLOGY,Biomolecules,SRUTHI.(WB),2026,OFFLINE,PAO,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1259,BOTANY,Biotechnology : Principles and processes,SRUTHI.(WB),2026,OFFLINE,PBP,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1260,BOTANY,Biotechnology : Principles and processes,SRUTHI.(WB),2026,OFFLINE,PBP,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1261,BOTANY,Biotechnology : Principles and processes,SRUTHI.(WB),2026,OFFLINE,PBP,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1262,BOTANY,Biotechnology and its Applications,SRUTHI.(WB),2026,OFFLINE,ZBB,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1263,BOTANY,Biotechnology and its Applications,SRUTHI.(WB),2026,OFFLINE,ZBB,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1264,ZOOLOGY,Body Fluids and Circulation,SRUTHI.(WB),2026,OFFLINE,ZBF,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1265,ZOOLOGY,Body Fluids and Circulation,SRUTHI.(WB),2026,OFFLINE,ZBF,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1266,ZOOLOGY,Breathing and Exchange of Gases,SRUTHI.(WB),2026,OFFLINE,APR,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1267,ZOOLOGY,Breathing and Exchange of Gases,SRUTHI.(WB),2026,OFFLINE,MAY,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1268,CHEMISTRY,Carboxylic Acids and It's Derivatives  Derivatives,SRUTHI.(WB),2026,OFFLINE,ZAJ,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1269,CHEMISTRY,Carboxylic Acids and It's Derivatives  Derivatives,SRUTHI.(WB),2026,OFFLINE,ZAJ,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1270,BOTANY,Cell : The unit of life,SRUTHI.(WB),2026,OFFLINE,CBK,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1271,BOTANY,Cell : The unit of life,SRUTHI.(WB),2026,OFFLINE,CBK,,BATCH16,23-02-2025,29,21,8,COMPLETED,,,,,,,,
1272,BOTANY,Cell : The unit of life,SRUTHI.(WB),2026,OFFLINE,CBK,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1273,BOTANY,Cell Cycle and Cell Division,SRUTHI.(WB),2026,OFFLINE,BDZ,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1274,BOTANY,Cell Cycle and Cell Division,SRUTHI.(WB),2026,OFFLINE,BDZ,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1275,CHEMISTRY,Chemical and Ionic Equilibrium,SRUTHI.(WB),2026,OFFLINE,MDD,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1276,CHEMISTRY,Chemical and Ionic Equilibrium,SRUTHI.(WB),2026,OFFLINE,MDD,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1277,CHEMISTRY,Chemical and Ionic Equilibrium,SRUTHI.(WB),2026,OFFLINE,MDD,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1278,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,SRUTHI.(WB),2026,OFFLINE,CAO,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1279,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,SRUTHI.(WB),2026,OFFLINE,CAO,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1280,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,SRUTHI.(WB),2026,OFFLINE,CAO,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1281,CHEMISTRY,Chemical Kinetics,SRUTHI.(WB),2026,OFFLINE,BDI,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1282,CHEMISTRY,Chemical Kinetics,SRUTHI.(WB),2026,OFFLINE,BDI,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1283,MATHS,Circles,SRUTHI.(WB),2026,OFFLINE,PCZ,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1284,MATHS,Circles,SRUTHI.(WB),2026,OFFLINE,PCZ,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1285,MATHS,Complex Numbers,SRUTHI.(WB),2026,OFFLINE,BBX,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1286,MATHS,Complex Numbers,SRUTHI.(WB),2026,OFFLINE,BBX,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1287,MATHS,Complex Numbers,SRUTHI.(WB),2026,OFFLINE,BBX,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1288,MATHS,Conic Section,SRUTHI.(WB),2026,OFFLINE,BBO,,BATCH16,23-02-2025,19,15,4,COMPLETED,,,,,,,,
1289,MATHS,Conic Section,SRUTHI.(WB),2026,OFFLINE,BBO,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1290,MATHS,"Continuity, Differentiability and Derivatives",SRUTHI.(WB),2026,OFFLINE,BCC,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1291,MATHS,"Continuity, Differentiability and Derivatives",SRUTHI.(WB),2026,OFFLINE,BCC,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1292,CHEMISTRY,Coordination Compounds and Organometallics,SRUTHI.(WB),2026,OFFLINE,MDG,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1293,CHEMISTRY,Coordination Compounds and Organometallics,SRUTHI.(WB),2026,OFFLINE,MDG,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1294,PHYSICS,Current Electricity,SRUTHI.(WB),2026,OFFLINE,CDV,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1295,PHYSICS,Current Electricity,SRUTHI.(WB),2026,OFFLINE,CDV,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1296,PHYSICS,Current Electricity,SRUTHI.(WB),2026,OFFLINE,CDV,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1297,MATHS,Differential Equations,SRUTHI.(WB),2026,OFFLINE,ZCQ,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1298,MATHS,Differential Equations,SRUTHI.(WB),2026,OFFLINE,ZCQ,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1299,PHYSICS,Dual Nature of Matter and Radiation,SRUTHI.(WB),2026,OFFLINE,PBC,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1300,PHYSICS,Dual Nature of Matter and Radiation,SRUTHI.(WB),2026,OFFLINE,PBC,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1301,BOTANY,Ecosystem,SRUTHI.(WB),2026,OFFLINE,PBG,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1302,BOTANY,Ecosystem,SRUTHI.(WB),2026,OFFLINE,PBG,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1303,BOTANY,Ecosystem,SRUTHI.(WB),2026,OFFLINE,PBG,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1304,CHEMISTRY,Electrochemistry,SRUTHI.(WB),2026,OFFLINE,CAS,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1305,CHEMISTRY,Electrochemistry,SRUTHI.(WB),2026,OFFLINE,CAS,,BATCH16,23-02-2025,24,18,6,COMPLETED,,,,,,,,
1306,PHYSICS,Electromagnetic Induction and Alternating Current,SRUTHI.(WB),2026,OFFLINE,CAJ,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1307,PHYSICS,Electromagnetic Induction and Alternating Current,SRUTHI.(WB),2026,OFFLINE,CAJ,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1308,PHYSICS,Electromagnetic Induction and Alternating Current,SRUTHI.(WB),2026,OFFLINE,CAJ,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1309,PHYSICS,Electromagnetic Waves,SRUTHI.(WB),2026,OFFLINE,PBL,,BATCH16,23-02-2025,5,5,0,COMPLETED,,,,,,,,
1310,PHYSICS,Electromagnetic Waves,SRUTHI.(WB),2026,OFFLINE,PBL,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1311,PHYSICS,Electrostatics,SRUTHI.(WB),2026,OFFLINE,BCL,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1312,PHYSICS,Electrostatics,SRUTHI.(WB),2026,OFFLINE,BCL,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1313,ZOOLOGY,Evolution,SRUTHI.(WB),2026,OFFLINE,MAW,,BATCH16,23-02-2025,24,18,6,COMPLETED,,,,,,,,
1314,ZOOLOGY,Evolution,SRUTHI.(WB),2026,OFFLINE,MAW,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1315,PHYSICS,Gravitation,SRUTHI.(WB),2026,OFFLINE,BCU,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1316,PHYSICS,Gravitation,SRUTHI.(WB),2026,OFFLINE,BCU,,BATCH16,23-02-2025,19,15,4,COMPLETED,,,,,,,,
1317,PHYSICS,Gravitation,SRUTHI.(WB),2026,OFFLINE,BCU,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1318,CHEMISTRY,Halo Alkanes and Halo Arenes  Arenes,SRUTHI.(WB),2026,OFFLINE,ZDV,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1319,CHEMISTRY,Halo Alkanes and Halo Arenes  Arenes,SRUTHI.(WB),2026,OFFLINE,ZDV,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1320,ZOOLOGY,Human Reproduction,SRUTHI.(WB),2026,OFFLINE,ZBT,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1321,ZOOLOGY,Human Reproduction,SRUTHI.(WB),2026,OFFLINE,ZBT,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1322,PHYSICS,Laws of Motion,SRUTHI.(WB),2026,OFFLINE,MCG,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1323,PHYSICS,Laws of Motion,SRUTHI.(WB),2026,OFFLINE,MCG,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1324,PHYSICS,Laws of Motion,SRUTHI.(WB),2026,OFFLINE,MCG,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1325,MATHS,Linear Inequations and Inequalities,SRUTHI.(WB),2026,OFFLINE,ZBY,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1326,MATHS,Linear Inequations and Inequalities,SRUTHI.(WB),2026,OFFLINE,ZBY,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1327,MATHS,Linear Programming,SRUTHI.(WB),2026,OFFLINE,MBS,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1328,MATHS,Linear Programming,SRUTHI.(WB),2026,OFFLINE,MBS,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1329,ZOOLOGY,Locomotion and Movement,SRUTHI.(WB),2026,OFFLINE,BBF,,BATCH16,23-02-2025,19,15,4,COMPLETED,,,,,,,,
1330,ZOOLOGY,Locomotion and Movement,SRUTHI.(WB),2026,OFFLINE,BBF,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1331,PHYSICS,Magnetism and Matter,SRUTHI.(WB),2026,OFFLINE,ZCZ,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1332,PHYSICS,Magnetism and Matter,SRUTHI.(WB),2026,OFFLINE,ZCZ,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1333,MATHS,Matrices and Determinants,SRUTHI.(WB),2026,OFFLINE,ZCC,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1334,MATHS,Matrices and Determinants,SRUTHI.(WB),2026,OFFLINE,ZCC,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1335,PHYSICS,Mechanical Properties of Solids & Fluids,SRUTHI.(WB),2026,OFFLINE,CDI,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1336,PHYSICS,Mechanical Properties of Solids & Fluids,SRUTHI.(WB),2026,OFFLINE,CDI,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1337,ZOOLOGY,Microbes in Human Welfare,SRUTHI.(WB),2026,OFFLINE,PCU,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1338,ZOOLOGY,Microbes in Human Welfare,SRUTHI.(WB),2026,OFFLINE,PCU,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1339,ZOOLOGY,Microbes in Human Welfare,SRUTHI.(WB),2026,OFFLINE,PCU,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1340,ZOOLOGY,Molecular Basis of Inheritance,SRUTHI.(WB),2026,OFFLINE,CCH,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1341,ZOOLOGY,Molecular Basis of Inheritance,SRUTHI.(WB),2026,OFFLINE,CCH,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1342,ZOOLOGY,Molecular Basis of Inheritance,SRUTHI.(WB),2026,OFFLINE,CCH,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1343,BOTANY,Morphology of Flowering Plants,SRUTHI.(WB),2026,OFFLINE,MDL,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1344,BOTANY,Morphology of Flowering Plants,SRUTHI.(WB),2026,OFFLINE,MDL,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1345,PHYSICS,Motion in a Straight Line,SRUTHI.(WB),2026,OFFLINE,BCG,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1346,PHYSICS,Motion in a Straight Line,SRUTHI.(WB),2026,OFFLINE,BCG,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1347,PHYSICS,Moving Charges and Magnetism,SRUTHI.(WB),2026,OFFLINE,PBU,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1348,PHYSICS,Moving Charges and Magnetism,SRUTHI.(WB),2026,OFFLINE,PBU,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1349,ZOOLOGY,Neural Control and Coordination,SRUTHI.(WB),2026,OFFLINE,CBT,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1350,ZOOLOGY,Neural Control and Coordination,SRUTHI.(WB),2026,OFFLINE,CBT,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1351,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part II II (Reaction Mechanism),SRUTHI.(WB),2026,OFFLINE,BDQ,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1352,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part II II (Reaction Mechanism),SRUTHI.(WB),2026,OFFLINE,BDQ,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1353,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part II II (Reaction Mechanism),SRUTHI.(WB),2026,OFFLINE,BDQ,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1354,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part III III (Purification),SRUTHI.(WB),2026,OFFLINE,ZAE,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1355,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part III III (Purification),SRUTHI.(WB),2026,OFFLINE,ZAE,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1356,PHYSICS,Oscillations,SRUTHI.(WB),2026,OFFLINE,ZDI,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1357,PHYSICS,Oscillations,SRUTHI.(WB),2026,OFFLINE,ZDI,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1358,PHYSICS,Oscillations,SRUTHI.(WB),2026,OFFLINE,ZDI,,BATCH16,23-02-2025,7,7,0,COMPLETED,,,,,,,,
1359,MATHS,"Permutation, Combination and Binomial Theorem",SRUTHI.(WB),2026,OFFLINE,CCM,,BATCH16,23-02-2025,17,14,3,COMPLETED,,,,,,,,
1360,MATHS,"Permutation, Combination and Binomial Theorem",SRUTHI.(WB),2026,OFFLINE,CCM,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1361,PHYSICS,"Physical World, Units and Measurements",SRUTHI.(WB),2026,OFFLINE,PDR,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1362,PHYSICS,"Physical World, Units and Measurements",SRUTHI.(WB),2026,OFFLINE,PDR,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1363,PHYSICS,"Physical World, Units and Measurements",SRUTHI.(WB),2026,OFFLINE,PDR,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1364,BOTANY,Plant Growth and Development,SRUTHI.(WB),2026,OFFLINE,BAN,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1365,BOTANY,Plant Growth and Development,SRUTHI.(WB),2026,OFFLINE,BAN,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1366,BOTANY,Plant Kingdom,SRUTHI.(WB),2026,OFFLINE,ZAW,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1367,BOTANY,Plant Kingdom,SRUTHI.(WB),2026,OFFLINE,ZAW,,BATCH16,23-02-2025,10,9,1,COMPLETED,,,,,,,,
1368,CHEMISTRY,Practical Chemistry,SRUTHI.(WB),2026,OFFLINE,CAX,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1369,CHEMISTRY,Practical Chemistry,SRUTHI.(WB),2026,OFFLINE,CAX,,BATCH16,23-02-2025,26,19,7,COMPLETED,,,,,,,,
1370,PHYSICS,Ray Optics & Optical Instruments,SRUTHI.(WB),2026,OFFLINE,CDN,,BATCH16,23-02-2025,12,11,1,COMPLETED,,,,,,,,
1371,PHYSICS,Ray Optics & Optical Instruments,SRUTHI.(WB),2026,OFFLINE,CDN,,BATCH16,23-02-2025,14,12,2,COMPLETED,,,,,,,,
1372,CHEMISTRY,Redox Reaction,SRUTHI.(WB),2026,OFFLINE,BDD,,BATCH16,23-02-2025,9,8,1,COMPLETED,,,,,,,,
1373,CHEMISTRY,Redox Reaction,SRUTHI.(WB),2026,OFFLINE,BDD,,BATCH16,23-02-2025,21,17,4,COMPLETED,,,,,,,,
1374,ZOOLOGY,Reproductive Health,SRUTHI.(WB),2026,OFFLINE,PAE,,BATCH16,23-02-2025,15,13,2,COMPLETED,,,,,,,,
1375,ZOOLOGY,Reproductive Health,SRUTHI.(WB),2026,OFFLINE,PAE,,BATCH16,23-02-2025,5,3,3,COMPLETED,,,,,,,,
1376,BOTANY,Respiration in Plants,SRUTHI.(WB),2026,OFFLINE,PBY,,BATCH16,23-02-2025,14,6,6,COMPLETED,,,,,,,,
1377,BOTANY,Respiration in Plants,SRUTHI.(WB),2026,OFFLINE,PBY,,BATCH16,23-02-2025,17,8,8,COMPLETED,,,,,,,,
1378,BOTANY,Respiration in Plants,SRUTHI.(WB),2026,OFFLINE,PBY,,BATCH16,23-02-2025,10,5,5,COMPLETED,,,,,,,,
1379,CHEMISTRY,Solutions,SRUTHI.(WB),2026,OFFLINE,BAE,,BATCH16,23-02-2025,7,3,3,COMPLETED,,,,,,,,
1380,CHEMISTRY,Solutions,SRUTHI.(WB),2026,OFFLINE,BAE,,BATCH16,23-02-2025,31,14,14,COMPLETED,,,,,,,,
1381,CHEMISTRY,Solutions,SRUTHI.(WB),2026,OFFLINE,BAE,,BATCH16,23-02-2025,12,5,5,COMPLETED,,,,,,,,
1382,CHEMISTRY,Some Basic Concepts of Chemistry,SRUTHI.(WB),2026,OFFLINE,ZAA,,BATCH16,23-02-2025,7,3,3,COMPLETED,,,,,,,,
1383,CHEMISTRY,Some Basic Concepts of Chemistry,SRUTHI.(WB),2026,OFFLINE,ZAA,,BATCH16,23-02-2025,15,7,7,COMPLETED,,,,,,,,
1384,MATHS,Statistics,SRUTHI.(WB),2026,OFFLINE,CCZ,,BATCH16,23-02-2025,12,5,5,COMPLETED,,,,,,,,
1385,MATHS,Statistics,SRUTHI.(WB),2026,OFFLINE,CCZ,,BATCH16,23-02-2025,10,5,5,COMPLETED,,,,,,,,
1386,MATHS,Statistics,SRUTHI.(WB),2026,OFFLINE,CCZ,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1387,MATHS,Straight Lines,SRUTHI.(WB),2026,OFFLINE,ZCL,,BATCH16,23-02-2025,14,6,6,COMPLETED,,,,,,,,
1388,MATHS,Straight Lines,SRUTHI.(WB),2026,OFFLINE,ZCL,,BATCH16,23-02-2025,10,5,5,COMPLETED,,,,,,,,
1389,MATHS,Straight Lines,SRUTHI.(WB),2026,OFFLINE,ZCL,,BATCH16,23-02-2025,24,11,11,COMPLETED,,,,,,,,
1390,ZOOLOGY,Structural organisation in Animals Animal Tissue,SRUTHI.(WB),2026,OFFLINE,PCC,,BATCH16,23-02-2025,14,6,6,COMPLETED,,,,,,,,
1391,ZOOLOGY,Structural organisation in Animals Animal Tissue,SRUTHI.(WB),2026,OFFLINE,PCC,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1392,ZOOLOGY,Structural organisation in Animals Morphology of Animals,SRUTHI.(WB),2026,OFFLINE,BAR,,BATCH16,23-02-2025,21,9,9,COMPLETED,,,,,,,,
1393,ZOOLOGY,Structural organisation in Animals Morphology of Animals,SRUTHI.(WB),2026,OFFLINE,BAR,,BATCH16,23-02-2025,12,5,5,COMPLETED,,,,,,,,
1394,CHEMISTRY,Structure of Atoms,SRUTHI.(WB),2026,OFFLINE,MCP,,BATCH16,23-02-2025,12,5,5,COMPLETED,,,,,,,,
1395,CHEMISTRY,Structure of Atoms,SRUTHI.(WB),2026,OFFLINE,MCP,,BATCH16,23-02-2025,19,9,9,COMPLETED,,,,,,,,
1396,CHEMISTRY,The d and f Block Block Elements,SRUTHI.(WB),2026,OFFLINE,ZAS,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1397,CHEMISTRY,The d and f Block Block Elements,SRUTHI.(WB),2026,OFFLINE,ZAS,,BATCH16,23-02-2025,21,9,9,COMPLETED,,,,,,,,
1398,CHEMISTRY,The d and f Block Block Elements,SRUTHI.(WB),2026,OFFLINE,ZAS,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1399,ZOOLOGY,The Living World,SRUTHI.(WB),2026,OFFLINE,CBP,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1400,ZOOLOGY,The Living World,SRUTHI.(WB),2026,OFFLINE,CBP,,BATCH16,23-02-2025,10,5,5,COMPLETED,,,,,,,,
1401,CHEMISTRY,The p Block Elements (XI) (XI) & (XII),SRUTHI.(WB),2026,OFFLINE,ZDQ,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1402,CHEMISTRY,The p Block Elements (XI) (XI) & (XII),SRUTHI.(WB),2026,OFFLINE,ZDQ,,BATCH16,23-02-2025,17,8,8,COMPLETED,,,,,,,,
1403,MATHS,Theory of Probability,SRUTHI.(WB),2026,OFFLINE,CDE,,BATCH16,23-02-2025,14,6,6,COMPLETED,,,,,,,,
1404,MATHS,Theory of Probability,SRUTHI.(WB),2026,OFFLINE,CDE,,BATCH16,23-02-2025,15,7,7,COMPLETED,,,,,,,,
1405,MATHS,Theory of Probability,SRUTHI.(WB),2026,OFFLINE,CDE,,BATCH16,23-02-2025,19,9,9,COMPLETED,,,,,,,,
1406,MATHS,Trigonometry I,SRUTHI.(WB),2026,OFFLINE,MBJ,,BATCH16,23-02-2025,24,11,11,COMPLETED,,,,,,,,
1407,MATHS,Trigonometry I,SRUTHI.(WB),2026,OFFLINE,MBJ,,BATCH16,23-02-2025,9,4,4,COMPLETED,,,,,,,,
1408,MATHS,Trigonometry I,SRUTHI.(WB),2026,OFFLINE,MBJ,,BATCH16,23-02-2025,15,7,7,COMPLETED,,,,,,,,
1409,MATHS,Trigonometry II,SRUTHI.(WB),2026,OFFLINE,MBO,,BATCH16,23-02-2025,26,12,12,COMPLETED,,,,,,,,
